Timestamp,Source MAC,Destination MAC,In Port
2023-03-01 22:15:23.513584,d6:0b:6d:b0:86:c1,33:33:00:00:00:fb,9
2023-03-01 22:15:23.517949,b6:f6:8c:9e:65:23,33:33:00:00:00:fb,9
2023-03-01 22:15:23.520728,62:d2:b3:03:7b:71,33:33:00:00:00:fb,9
2023-03-01 22:15:23.523250,d6:0b:6d:b0:86:c1,33:33:00:00:00:fb,9
2023-03-01 22:15:23.525650,b6:f6:8c:9e:65:23,33:33:00:00:00:fb,9
2023-03-01 22:15:23.528052,62:d2:b3:03:7b:71,33:33:00:00:00:fb,9
2023-03-01 22:15:23.531107,d6:0b:6d:b0:86:c1,33:33:00:00:00:fb,9
2023-03-01 22:15:23.532917,b6:f6:8c:9e:65:23,33:33:00:00:00:fb,9
2023-03-01 22:15:23.535305,b6:f6:8c:9e:65:23,33:33:00:00:00:fb,9
2023-03-01 22:15:23.537990,62:d2:b3:03:7b:71,33:33:00:00:00:fb,9
2023-03-01 22:15:23.539918,d6:0b:6d:b0:86:c1,33:33:00:00:00:fb,9
2023-03-01 22:15:23.542645,62:d2:b3:03:7b:71,33:33:00:00:00:fb,9
2023-03-01 22:15:23.547662,d6:0b:6d:b0:86:c1,33:33:00:00:00:fb,9
2023-03-01 22:15:23.551132,b6:f6:8c:9e:65:23,33:33:00:00:00:fb,9
2023-03-01 22:15:23.554951,62:d2:b3:03:7b:71,33:33:00:00:00:fb,9
2023-03-01 22:15:23.559986,be:dc:90:60:d8:2c,33:33:00:00:00:fb,9
2023-03-01 22:15:23.562629,be:dc:90:60:d8:2c,33:33:00:00:00:fb,9
2023-03-01 22:15:23.564653,be:dc:90:60:d8:2c,33:33:00:00:00:fb,9
2023-03-01 22:15:23.567197,be:dc:90:60:d8:2c,33:33:00:00:00:fb,9
2023-03-01 22:15:23.570022,be:dc:90:60:d8:2c,33:33:00:00:00:fb,9
2023-03-01 22:15:23.573171,be:dc:90:60:d8:2c,33:33:00:00:00:fb,9
2023-03-01 22:15:23.576376,be:dc:90:60:d8:2c,33:33:00:00:00:fb,9
2023-03-01 22:15:23.601340,3a:27:6f:89:c5:67,33:33:00:00:00:fb,9
2023-03-01 22:15:23.864107,6a:67:a4:e3:3b:35,33:33:00:00:00:fb,9
2023-03-01 22:15:23.873559,06:b1:16:21:1b:ea,33:33:00:00:00:fb,9
2023-03-01 22:15:23.931630,f6:ed:88:dc:81:e0,33:33:00:00:00:fb,5
2023-03-01 22:15:23.934390,f6:ed:88:dc:81:e0,33:33:00:00:00:fb,9
2023-03-01 22:15:23.937614,f6:ed:88:dc:81:e0,33:33:00:00:00:fb,9
2023-03-01 22:15:23.939553,f6:ed:88:dc:81:e0,33:33:00:00:00:fb,9
2023-03-01 22:15:23.942821,f6:ed:88:dc:81:e0,33:33:00:00:00:fb,9
2023-03-01 22:15:23.945914,f6:ed:88:dc:81:e0,33:33:00:00:00:fb,9
2023-03-01 22:15:23.949035,f6:ed:88:dc:81:e0,33:33:00:00:00:fb,9
2023-03-01 22:15:23.953083,f6:ed:88:dc:81:e0,33:33:00:00:00:fb,9
2023-03-01 22:15:23.967567,3e:52:cd:ef:09:9d,33:33:00:00:00:fb,9
2023-03-01 22:15:24.155343,52:c7:5c:ab:d4:3c,33:33:00:00:00:fb,9
2023-03-01 22:15:27.862967,d6:0b:6d:b0:86:c1,33:33:00:00:00:02,3
2023-03-01 22:15:27.867059,8a:d9:e2:f2:da:11,33:33:00:00:00:02,5
2023-03-01 22:15:27.870228,8e:09:5a:e8:c7:ff,33:33:00:00:00:02,2
2023-03-01 22:15:27.873533,8a:d7:74:29:f1:7f,33:33:00:00:00:02,3
2023-03-01 22:15:27.879347,d6:0b:6d:b0:86:c1,33:33:00:00:00:02,9
2023-03-01 22:15:27.883682,d6:0b:6d:b0:86:c1,33:33:00:00:00:02,9
2023-03-01 22:15:27.887535,8a:44:3b:15:06:1b,33:33:00:00:00:02,1
2023-03-01 22:15:27.891078,d6:0b:6d:b0:86:c1,33:33:00:00:00:02,9
